0,0,0,0,0,0,0
2,-0.00537,-0.0017578,-0.0026671,9.8023,-11236,-0.01654
3,-0.006071,-0.005689,0.0007997,9.8046,-0.01242,-0.01744
4,-0.0025206,-0.00011068,-0.0039073,9.8014,-0.01663,-0.02167
5,-0.0047211,-0.0050575,0.001326,9.8034,-0.01167,-0.01723
6,-0.0047743,-0.00010959,-0.0062435,9.8008,-0.0183,-0.02301
7,-0.0019086,-0.0050629,0.00044922,9.806,-0.01328,-0.01868
8,-0.0026085,-0.0024902,-0.0041385,9.7995,-0.01877,-0.02327
9,-0.00074653,-0.0047559,-0.00073893,9.8057,-0.01366,-0.01842
10,-0.0017871,-0.0012977,-0.0045475,9.801,-0.01663,-0.02167
11,-0.0049902,-0.0054329,0.00081597,9.8044,-0.01382,-0.01837
12,-0.0017394,-0.00037543,-0.0062782,9.8021,-0.01781,-0.02296
13,-0.0067817,-0.0041037,-0.00034071,9.8032,-0.0122,-0.01718
14,-0.0045595,-0.0013487,-0.006441,9.8009,-0.01819,-0.02162
15,-0.0013433,-0.0014594,-0.0010004,9.8053,-0.01312,-0.0196
16,-0.0026063,0.00020508,-0.0050966,9.8016,-0.01727,-0.02275
17,-0.0023709,-0.0045464,-0.0047797,9.8038,-0.01517,-0.01713
18,-0.002079,0.0019217,-0.0078396,9.8001,-0.01717,-0.02275
19,-0.0014149,-0.0041048,-0.0026172,9.8066,-0.0108,-0.01795
20,-0.00058811,-0.00066298,-0.004018,9.8029,-0.01717,-0.02172
21,-0.0037934,-0.0038238,-0.00097656,9.8046,-0.01199,-0.01739
22,-0.0051964,0.001977,-0.0059939,9.7996,-0.01737,-0.02384
23,-0.0035938,-0.0026259,-0.001428,9.8031,-0.01269,-0.01821
24,-0.0019868,0.001046,-0.0052018,9.8021,-0.0177,-0.02229
25,-3.7977e-05,-0.0061317,0.00010851,9.8074,-0.01237,-0.01775
26,-0.0058268,-0.001225,-0.0056315,9.8008,-0.01749,-0.02172
27,-0.0040386,-0.0047928,0.001275,9.8033,-0.01274,-0.01837
28,-0.0041406,0.0019141,-0.0042698,9.8005,-0.01727,-0.02136
29,-2.7127e-05,-0.0034896,-0.0018305,9.8054,-0.01269,-0.01734
30,-0.00072808,-0.0023047,-0.0030632,9.8011,-0.0163,-0.0226
31,-0.0031717,-0.0084635,-2.0616e-05,9.8048,-0.01161,-0.02018
32,-0.0037967,-0.00091363,-0.0026563,9.8023,-0.01587,-0.02286
33,-0.0022168,-0.0076747,0.0046354,9.8034,-0.01264,-0.01795
34,-0.0024165,-0.0029395,-0.00010634,9.8019,-0.01717,-0.0226
35,-0.0034559,-0.0058691,0.0048817,9.8062,-0.0121,-0.01806
36,-0.0043164,0.0021539,-0.0012543,9.8015,-0.01776,-0.02306
37,-0.0020692,-0.0077984,0.0014692,9.8033,-0.01328,-0.01651
